id,operacional_system,processor,memory,graphics,fk_game_id
0779c614dfa54d6b9905199bd5f3c1951,"Windows® 7, Windows 8.1, Windows 10 (64-bit versions only)","Intel Core i5-2400 | AMD FX-6100, or better",6 GB RAM,"NVIDIA GeForce GTX 560 with 2 GB VRAM (current equivalent NVIDIA GeForce GTX 760) | AMD Radeon HD 7770 with 2 GB VRAM, or better",40 GB,0779c614dfa54d6b9905199bd5f3c195
0779c614dfa54d6b9905199bd5f3c1952,"Windows® 7, Windows 8.1, Windows 10 (64-bit versions only)","Intel Core i7-3770 | AMD FX-8350, or better",8 GB RAM,"NVIDIA GeForce GTX 970 | AMD Radeon R9 290, or better",,0779c614dfa54d6b9905199bd5f3c195
f7246f00b7c44619974b60aa276fa6061,Windows 7 SP1 or Windows 8.1 or Windows 10,Dual core from Intel or AMD at 2 GHz or better,2 GB RAM,Video/Graphics Card must be 512 MB or more and should be a DirectX 10 - compatible or DirectX 11 - compatible,5 GB available space,f7246f00b7c44619974b60aa276fa606
f7246f00b7c44619974b60aa276fa6062,For VR Mode: Windows 10,For VR Mode: Intel i3-6100 / AMD Ryzen 3 1200,8 GB RAM,For VR Mode:  NVIDIA GTX 1050 Ti / AMD Radeon RX 470,,f7246f00b7c44619974b60aa276fa606
4e7c7a4652c247ab8019906f7d60739c1,Windows 7 and above,1.2 ghz,4 GB RAM,512 mb video memory,2 GB available space,4e7c7a4652c247ab8019906f7d60739c
4e7c7a4652c247ab8019906f7d60739c2,TBD,TBD,TBD,TBD,TBD,4e7c7a4652c247ab8019906f7d60739c
e820a1ab24ca4bd2b725ba33194489d41,Windows 7 or later,Intel Core 2 Duo E6320 (2*1866) or equivalent,2GB RAM,GeForce 7600 GS (512 MB) or equivalent,2GB HDD,e820a1ab24ca4bd2b725ba33194489d4
e820a1ab24ca4bd2b725ba33194489d42,Windows 7 or later,Intel Core 2 Duo E6320 (2*1866) or equivalent,2GB RAM,GeForce 7600 GS (512 MB) or equivalent,2GB HDD,e820a1ab24ca4bd2b725ba33194489d4
a95fc18c1d7846b2833f9d42d5d9c6581,Windows XP / Vista / 7 / 8 / 10,2 Ghz Dual Core or higher,4 GB RAM,,1 GB available space,a95fc18c1d7846b2833f9d42d5d9c658
a95fc18c1d7846b2833f9d42d5d9c6582,Windows XP / Vista / 7 / 8 / 10,2 Ghz Dual Core or higher,4 GB RAM,,1 GB available space,a95fc18c1d7846b2833f9d42d5d9c658
73021f8411c9435e8b6f35faacdc29781,Mac OS X 10.13 (High Sierra),2.0 GHz dual i5,4 GB RAM,Intel Iris Pro 5200 1536 MB or AMD Radeon R9 M370X 2GB or Metal-capable equivalent,3 GB available space,73021f8411c9435e8b6f35faacdc2978
73021f8411c9435e8b6f35faacdc29782,Mac OS X 10.15.7 (Catalina),3.1 GHz 4Core Intel i7,8 GB RAM,Radeon Pro 560 4 GB or Metal-capable equivalent,3 GB available space,73021f8411c9435e8b6f35faacdc2978
dedd448c38d947ab90291540f183378b1,"Windows 7, 64-bit",3.0GHz CPU Dual Core,4 GB RAM,Geforce GTX 750 / Radeon R7 260X,6 GB available space,dedd448c38d947ab90291540f183378b
dedd448c38d947ab90291540f183378b2,"Windows 7, 64-bit",2.4GHz CPU Quad Core,8 GB RAM,Geforce GTX 780 / Radeon R9 290X,6 GB available space,dedd448c38d947ab90291540f183378b
57001074e2cf4d048839e4a2ebb44d711,"Windows 7 SP1, Windows 8.1, Windows 10 (64bit versions only)","Intel Core i5 2400s @ 2.5 GHz, AMD FX 6120 @ 3.5 GHz or better",6 GB RAM,"NVIDIA GeForce GTX 660 with 2 GB VRAM or AMD Radeon HD 7870, with 2 GB VRAM or better - See supported List*",50 GB,57001074e2cf4d048839e4a2ebb44d71
